"TOA5","GEOFISICO","CR1000","E11808","CR1000.Std.31.08","CPU:Geofisico_Coimbra_v4.2.CR1","37655","Dados24h"
"TIMESTAMP","RECORD","Anonymous4","Temp_Avg","Temp_Max","Temp_Min","Temp_Std","HRel_Avg","HRel_Max","HRel_Min","HRel_Std","pressao_Avg","pressao_Max","pressao_Min","pressao_Std","pnmm_Avg","pnmm_Max","pnmm_Min","VVento_Avg","DVento_Avg","DVento_Std","VVento_Std","VVento_Max","DVento_SMM","TempR5_Avg","TempR5_Min","TempS10_Avg","TempS20_Avg","TempS50_Avg","TempS100_Avg","Precip_Tot","IntPrec_Max","TempoPrec_Tot","RST_Tot","POrv","POrv_Avg","POrv_Max","POrv_Min"
"TS","RN","","oC","oC","oC","oC","%","%","%","%","hPa","hPa","hPa","hPa","hPa","hPa","hPa","m/s","Deg","Deg","m/s","m/s","degN","oC","oC","oC","oC","oC","oC","mm","mm/h","","","","","",""
"","","Smp","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","WVc","WVc","WVc","Std","Max","SMM","Avg","Min","Avg","Avg","Avg","Avg","Tot","Max","Tot","Tot","Smp","Avg","Max","Min"
"2019-10-03 00:00:00",177,549,18.18,24.43,14.43,3.144,67.57,82.9,46.01,11.61,1006.047,1007.184,1004.521,0.5590386,1022.834,1024.117,1020.946,2.121,310.1,58.02,1.525,7.03,310,23.08,18.59,"NAN",24.08,22.49,"NAN",0,0,529,2541.777,11.55,11.82,12.83,11.09
"2019-10-04 00:00:00",178,549,18.59,25.75,12.25,4.525,73.78,93,47.62,14.77,1006.654,1009.267,1004.986,0.7402724,1023.428,1026.306,1021.397,1.775,311.2,93.2,1.19,7.79,327,22.19,17.2,"NAN",26.99,22.39,"NAN",0,0,1440,17346.78,15.37,13.44,15.6,10.99
"2019-10-05 00:00:00",179,549,19.06,24.65,15.9,2.469,78.56,93.2,51.3,12.61,1004.686,1007.208,1002.628,0.8296127,1021.398,1024.009,1019.025,1.975,314.7,50.85,1.327,8.08,324,22.35,17.84,"NAN",26.34,22.56,"NAN",0,0,1440,11385.94,14.53,15.02,17.92,12.19
"2019-10-06 00:00:00",180,549,17.15,24.52,12.55,3.495,76.5,96.9,43.59,16.95,1004.842,1008.444,1002.669,1.187478,1021.669,1025.459,1019.43,1.884,332.7,60.04,1.481,10.62,320,21.88,16.87,"NAN",24.73,22.29,"NAN",0,0,1440,16439.77,11.85,12.53,14.56,10.88
"2019-10-07 00:00:00",181,549,18.1,27.29,11.49,5.158,75.69,96,46.11,16.58,1006.948,1009.267,1004.737,0.8492903,1023.757,1026.238,1021.791,1.901,322.4,80.6,1.312,8.15,329,21.84,16.47,"NAN",26.04,22.06,"NAN",0,0,1440,17894,13.78,13.25,15.67,10.53
"2019-10-08 00:00:00",182,549,18.31,27.44,14.18,4.19,79.55,98.6,40.36,19.28,1006.11,1009.267,1004.143,0.896721,1022.892,1026.288,1020.536,1.815,325.1,52.71,1.169,7.09,331,21.94,16.75,"NAN",25.13,22,"NAN",0,0,1440,14633.14,15.42,14.12,16.47,8.88
"2019-10-09 00:00:00",183,549,19.07,27.38,14.82,4.045,81,94.4,56.85,11.96,1005.066,1006.796,1002.989,0.8189725,1021.785,1023.771,1019.293,2.593,318.2,72.46,1.71,9.56,318,22.13,17.05,"NAN",26.87,22.18,"NAN",0,0,1440,16181.38,13.92,15.51,18.5,13.65
"2019-10-10 00:00:00",184,549,16.98,23.9,12.17,3.635,71.49,91.5,37.29,17.98,1005.783,1007.62,1004.262,0.6289058,1022.635,1024.778,1020.766,3.49,332.4,24.5,1.711,10.2,336,21.95,16.75,"NAN",24.94,22.05,"NAN",0,0,1440,18071.88,11.42,11.2,13.97,8.23
